year,month_start_date,cpi_value,baseline_dec19_divisor
2015,1/1/2015,233.707,0.909457766
2015,2/1/2015,234.722,0.913407582
2015,3/1/2015,236.119,0.91884393
2015,4/1/2015,236.599,0.920711823
2015,5/1/2015,237.805,0.925404905
2015,6/1/2015,238.638,0.928646478
2015,7/1/2015,238.654,0.928708741
2015,8/1/2015,238.316,0.927393433
2015,9/1/2015,237.945,0.925949707
2015,10/1/2015,237.838,0.925533322
2015,11/1/2015,237.336,0.923579817
2015,12/1/2015,236.525,0.920423856
2016,1/1/2016,236.916,0.921945411
2016,2/1/2016,237.111,0.922704242
2016,3/1/2016,238.132,0.926677407
2016,4/1/2016,239.261,0.931070848
2016,5/1/2016,240.229,0.934837766
2016,6/1/2016,241.018,0.937908115
2016,7/1/2016,240.628,0.936390452
2016,8/1/2016,240.849,0.937250461
2016,9/1/2016,241.428,0.939503607
2016,10/1/2016,241.729,0.940674932
2016,11/1/2016,241.353,0.939211749
2016,12/1/2016,241.432,0.939519173
2017,1/1/2017,242.839,0.944994435
2017,2/1/2017,243.603,0.947967499
2017,3/1/2017,243.801,0.948738005
2017,4/1/2017,244.524,0.951551519
2017,5/1/2017,244.733,0.952364831
2017,6/1/2017,244.955,0.953228731
2017,7/1/2017,244.786,0.952571077
2017,8/1/2017,245.519,0.955423506
2017,9/1/2017,246.819,0.960482383
2017,10/1/2017,246.663,0.959875318
2017,11/1/2017,246.669,0.959898667
2017,12/1/2017,246.524,0.959334407
2018,1/1/2018,247.867,0.964560617
2018,2/1/2018,248.991,0.9689346
2018,3/1/2018,249.554,0.971125484
2018,4/1/2018,250.546,0.974985796
2018,5/1/2018,251.588,0.979040681
2018,6/1/2018,251.989,0.98060115
2018,7/1/2018,252.006,0.980667305
2018,8/1/2018,252.146,0.981212107
2018,9/1/2018,252.439,0.9823523
2018,10/1/2018,252.885,0.984087884
2018,11/1/2018,252.038,0.980791831
2018,12/1/2018,251.233,0.977659218
2019,1/1/2019,251.712,0.97952322
2019,2/1/2019,252.776,0.983663717
2019,3/1/2019,254.202,0.989212916
2019,4/1/2019,255.548,0.9944508
2019,5/1/2019,256.092,0.996567746
2019,6/1/2019,256.143,0.99676621
2019,7/1/2019,256.571,0.998431748
2019,8/1/2019,256.558,0.998381159
2019,9/1/2019,256.759,0.999163339
2019,10/1/2019,257.346,1.001447617
2019,11/1/2019,257.208,1.000910598
2019,12/1/2019,256.974,1
2020,1/1/2020,257.971,1.00387977
2020,2/1/2020,258.678,1.006631021
2020,3/1/2020,258.115,1.004440138
2020,4/1/2020,256.389,0.997723505
2020,5/1/2020,256.394,0.997742962
2020,6/1/2020,257.797,1.003202659
2020,7/1/2020,259.101,1.008277102
2020,8/1/2020,259.918,1.011456412
2020,9/1/2020,260.28,1.012865115
2020,10/1/2020,260.388,1.013285391
2020,11/1/2020,260.229,1.012666651
2020,12/1/2020,260.474,1.013620055
2021,1/1/2021,261.582,1.017931775
2021,2/1/2021,263.014,1.023504323
2021,3/1/2021,264.877,1.030754084
2021,4/1/2021,267.054,1.039225758
2021,5/1/2021,269.195,1.04755734
2021,6/1/2021,271.696,1.057289843
2021,7/1/2021,273.003,1.06237596
2021,8/1/2021,273.567,1.064570735
2021,9/1/2021,274.31,1.067462078
2021,10/1/2021,276.589,1.076330679
2021,11/1/2021,277.948,1.081619152
2021,12/1/2021,278.802,1.084942446
2022,1/1/2022,281.148,1.094071774
2022,2/1/2022,283.716,1.104065003
2022,3/1/2022,287.504,1.118805794
2022,4/1/2022,289.109,1.125051562
2022,5/1/2022,292.296,1.137453595
2022,6/1/2022,296.311,1.153077743
2022,7/1/2022,296.276,1.152941543
2022,8/1/2022,296.171,1.152532941
2022,9/1/2022,296.808,1.155011791
2022,10/1/2022,298.012,1.15969709
2022,11/1/2022,297.711,1.158525765
2022,12/1/2022,296.797,1.154968985
2023,1/1/2023,299.17,1.164203382
2023,2/1/2023,300.84,1.170702094
2023,3/1/2023,301.836,1.174577973
2023,4/1/2023,303.363,1.180520208
2023,5/1/2023,304.127,1.183493272
2023,6/1/2023,305.109,1.18731467
2023,7/1/2023,305.691,1.189579491
2023,8/1/2023,307.026,1.194774569
2023,9/1/2023,307.789,1.197743741
2023,10/1/2023,307.671,1.19728455
2023,11/1/2023,307.051,1.194871855
2023,12/1/2023,306.746,1.193684964
2024,1/1/2024,308.417,1.200187568
2024,2/1/2024,310.326,1.207616335
2024,3/1/2024,312.332,1.215422572
2024,4/1/2024,313.548,1.220154568
2024,5/1/2024,314.069,1.222182011
2024,6/1/2024,314.175,1.222594504
2024,7/1/2024,314.54,1.224014881
2024,8/1/2024,314.796,1.225011091
2024,9/1/2024,315.301,1.22697627
2024,10/1/2024,315.664,1.228388864
2024,11/1/2024,315.493,1.227723427
2024,12/1/2024,315.605,1.228159269
2025,1/1/2025,317.671,1.236198993
2025,2/1/2025,319.082,1.241689821
2025,3/1/2025,319.799,1.244479986
2025,4/1/2025,320.795,1.248355865
2025,5/1/2025,321.465,1.250963132
2025,6/1/2025,322.561,1.255228155
