week_nbr,avg_overall_gross,min_overall_gross,max_overall_gross,avg_infl_adj_overall_gross,min_infl_adj_overall_gross,max_infl_adj_overall_gross
1,213349300.7,189701458,288654414,224447779.2,190997106.2,313092739.1
2,201486993.8,165590418,234295238,213407719.3,178032983.2,242903591.4
3,222424408,184047126,299050139,236854525.3,190809289.5,328822459
4,173678015.4,137684269,202836555,184461349.8,140562537.2,223030208.3
5,134983155.2,101933532,175098230,143281096.1,103626402.2,189922557.1
6,190012713.8,126658082,260606517,200423068.1,137268342.6,274910814.2
7,289297858.6,183674228,419745271,306083680.3,186724614.1,433202892.1
8,186287441.4,155693517,255715632,196396313.6,167902757,263914233.2
9,177624019.6,137546307,252960428,186949986.1,150585904.6,266628328
10,207173731.4,121657937,281109887,216864594.9,132403265.7,284175309.9
11,217440580.4,176458901,348996112,228846431,188465317.8,367852990.1
12,205373058.8,170340262,267856889,215820091.9,185385413.6,282329671.2
13,230886233.2,184191955,339295945,243870284.5,186200515.6,366142459.5
14,212474870.6,171163378,310171232,223431376.5,181325770.1,336881990.9
15,177859586.6,135033390,228479867,186237279.4,145030198.6,240112976
16,167380997.4,140940360,227357903,175837796.7,148116373.3,244189691.4
17,274556285,121168729,536411266,283205214.8,131603316,539404529.6
18,232130179.8,137077341,292973658,242507040.6,147225467.6,316589696.5
19,209704337.4,168341793,301892803,219321618.8,181911498.5,322936036.6
20,214202124.8,169562436,283469570,223540030.3,181381670.9,289538091.2
21,238282525,181470823,283652332,248107633.1,194120123.9,284629251.9
22,224559596,158144979,268380107,234629460.5,161273499.4,281548487
23,202531421.2,181174157,241798277,210889778.3,184758254.7,242582738.6
24,302803607.4,205279222,403621055,316352110.5,205945205.6,423934610.6
25,332048918.6,214916215,407998267,346284946.3,225461327.4,416069537.6
26,304997937.8,281182034,330476970,317816481.7,294978555.4,332723306.8
27,278866390.6,219271846,310795591,290668121.9,236103997.2,331908116.3
28,269067104,201907706,323895350,281842830.4,202224845.5,345897749.5
29,294387915.8,248477598,391079975,306099484.1,265356825.7,391694250.3
30,250468257.8,221011063,297489688,261362446.7,232015298.7,317698335.5
31,228546727.4,184482439,283985335,238538714.5,193089700.9,303276624
32,225993859.4,173131832,329772931,236058241.3,181209516.9,351851447.1
33,196609497,138860067,254073490,205513451.2,145338759.3,271083878.4
34,149199425.6,101552490,187165556,155644069,106290550.1,199696413.9
35,138995917.8,112587233,164705279,144689937.3,117219467,175732406.5
36,168248047.2,135308637,216627670,174731061.5,146129574.8,225540492.8
37,142102068.6,130021845,149537267,147691885.6,140419986.1,154609476.1
38,143340781.8,121858383,168838131,149013093.7,127340663.8,168979509.6
39,141166522,120143224,178104358,147285082.3,125086338,192347766.5
40,192758552,149160302,253603575,199821656.8,155395496.9,257704194
41,165925349,131950497,202185650,172062420.4,137466288.1,201893385.7
42,164414345.8,128545990,216850956,170372405.1,133919466,220357307
43,141784035.2,109543154,163330723,147421372.3,114122274,173631418.7
44,162408644.6,102245901,236868261,168287688.7,110472414.7,246763819.1
45,213755130,171355582,251689176,223184967.1,171199687.9,267979160.5
46,225629878.6,137611030,328730983,234428681,147639791.5,342464256.2
47,280517087,233588047,342358466,291738291.2,243346568.8,342046998.7
48,194102574.2,140246350,225284723,202439863.3,146191306.2,239296294.6
49,122277978.8,114954459,128585893,127625030.9,119827307.5,139702912.1
50,194545330.4,105472167,408585324,202130670.3,114590866.3,425905003.5
51,446359608.2,351825485,512582385,465608874.3,374473981.1,556898196
52,411265919.4,338477578,528565948,430870891.1,351251779.4,574263633.6
53,311003351,311003351,311003351,331023953.5,331023953.5,331023953.5
