Year,Week Begin Date,Week End Date,Top 10 Gross,Top 10 Pct Change Week Prior,Overall Gross,Overall Gross Pct Change Week Prior,Releases,Top Release,Week
2025,7/11/2025,7/17/2025,"$296,195,839 ",26.70%,"$300,032,785 ",25.60%,58,Superman,28
2025,7/4/2025,7/10/2025,"$233,701,669 ",-4.70%,"$238,967,618 ",-5.10%,61,Jurassic World: Rebirth,27
2025,6/27/2025,7/3/2025,"$245,354,117 ",36.10%,"$251,845,844 ",33.50%,65,F1: The Movie,26
2025,6/20/2025,6/26/2025,"$180,327,690 ",-19%,"$188,715,812 ",-18.40%,68,How to Train Your Dragon,25
2025,6/13/2025,6/19/2025,"$222,612,326 ",47.60%,"$231,242,090 ",43.50%,63,How to Train Your Dragon,24
2025,6/6/2025,6/12/2025,"$150,793,466 ",-25.20%,"$161,171,971 ",-22.20%,69,Lilo & Stitch,23
2025,5/30/2025,6/5/2025,"$201,626,886 ",-49.10%,"$207,288,450 ",-48%,67,Lilo & Stitch,22
2025,5/23/2025,5/29/2025,"$395,853,924 ",182.30%,"$398,583,925 ",175.10%,62,Lilo & Stitch,21
2025,5/16/2025,5/22/2025,"$140,206,067 ",26.60%,"$144,884,295 ",24.80%,84,Final Destination: Bloodlines,20
2025,5/9/2025,5/15/2025,"$110,720,767 ",-40.50%,"$116,132,870 ",-39%,88,Thunderbolts*,19
2025,5/2/2025,5/8/2025,"$185,983,988 ",-2.20%,"$190,471,725 ",-4%,80,Thunderbolts*,18
2025,4/25/2025,5/1/2025,"$190,187,818 ",1.50%,"$198,368,610 ",0.30%,76,Sinners,17
2025,4/18/2025,4/24/2025,"$187,358,470 ",-9.50%,"$197,694,158 ",-8.30%,74,Sinners,16
2025,4/11/2025,4/17/2025,"$207,043,450 ",-16%,"$215,546,997 ",-15.30%,66,A Minecraft Movie,15
2025,4/4/2025,4/10/2025,"$246,463,785 ",171.70%,"$254,529,307 ",148.60%,73,A Minecraft Movie,14
2025,3/28/2025,4/3/2025,"$90,711,303 ",2.40%,"$102,367,834 ",2.60%,76,A Working Man,13
2025,3/21/2025,3/27/2025,"$88,596,475 ",38%,"$99,748,573 ",33.80%,78,Snow White,12
2025,3/14/2025,3/20/2025,"$64,203,953 ",-6.20%,"$74,537,687 ",-6.60%,78,Novocaine,11
2025,3/7/2025,3/13/2025,"$68,418,317 ",13.20%,"$79,762,454 ",7.20%,78,Mickey 17,10
2025,2/28/2025,3/6/2025,"$60,418,544 ",-31.50%,"$74,428,851 ",-26.40%,75,Captain America: Brave New World,9
2025,2/21/2025,2/27/2025,"$88,239,882 ",-54.20%,"$101,139,282 ",-51.30%,73,Captain America: Brave New World,8
2025,2/14/2025,2/20/2025,"$192,862,665 ",210.10%,"$207,758,715 ",172.40%,66,Captain America: Brave New World,7
2025,2/7/2025,2/13/2025,"$62,198,987 ",-32%,"$76,260,084 ",-29%,75,Dog Man,6
2025,1/31/2025,2/6/2025,"$91,413,098 ",28.40%,"$107,368,517 ",22.30%,68,Dog Man,5
2025,1/24/2025,1/30/2025,"$71,170,055 ",-29.60%,"$87,798,573 ",-22.90%,62,Flight Risk,4
2025,1/17/2025,1/23/2025,"$101,142,458 ",6.20%,"$113,931,067 ",7.10%,68,Mufasa: The Lion King,3
2025,1/10/2025,1/16/2025,"$95,208,875 ",-28.40%,"$106,422,271 ",-24.10%,63,Den of Thieves: Pantera,2
2025,1/3/2025,1/9/2025,"$133,064,659 ",-54.40%,"$140,144,062 ",-54.40%,60,Mufasa: The Lion King,1
2024,12/27/2024,1/2/2025,"$291,628,956 ",-2.40%,"$307,097,157 ",-1.30%,90,Mufasa: The Lion King,52
2024,12/20/2024,12/26/2024,"$298,846,023 ",146.80%,"$311,296,923 ",139.20%,64,Sonic the Hedgehog 3,51
2024,12/13/2024,12/19/2024,"$121,080,672 ",-29.10%,"$130,123,037 ",-28.20%,75,Moana 2,50
2024,12/6/2024,12/12/2024,"$170,672,105 ",-49.10%,"$181,339,586 ",-46.40%,72,Moana 2,49
2024,11/29/2024,12/5/2024,"$334,997,500 ",-16.20%,"$338,591,481 ",-16.50%,56,Moana 2,48
2024,11/22/2024,11/28/2024,"$399,670,846 ",367.90%,"$405,421,376 ",344.30%,58,Wicked,47
2024,11/15/2024,11/21/2024,"$85,414,614 ",-1.90%,"$91,246,420 ",-5.50%,69,Red One,46
2024,11/8/2024,11/14/2024,"$87,098,199 ",0.40%,"$96,591,267 ",-2%,68,Venom: The Last Dance,45
2024,11/1/2024,11/7/2024,"$86,754,102 ",-27.80%,"$98,565,700 ",-22.50%,78,Venom: The Last Dance,44
2024,10/25/2024,10/31/2024,"$120,177,763 ",45.10%,"$127,240,009 ",34.90%,73,Venom: The Last Dance,43
2024,10/18/2024,10/24/2024,"$82,839,552 ",-12.50%,"$94,320,179 ",-11.70%,74,Smile 2,42
2024,10/11/2024,10/17/2024,"$94,649,423 ",-9.30%,"$106,864,068 ",-5.30%,68,Terrifier 3,41
2024,10/4/2024,10/10/2024,"$104,297,683 ",-3.90%,"$112,811,509 ",-6.60%,67,Joker: Folie à Deux,40
2024,9/27/2024,10/3/2024,"$108,491,985 ",11.30%,"$120,835,837 ",12.40%,73,The Wild Robot,39
2024,9/20/2024,9/26/2024,"$97,491,579 ",-14.20%,"$107,462,043 ",-13.60%,71,Beetlejuice Beetlejuice,38
2024,9/13/2024,9/19/2024,"$113,624,154 ",-36.30%,"$124,351,589 ",-33.50%,63,Beetlejuice Beetlejuice,37
2024,9/6/2024,9/12/2024,"$178,285,655 ",70.90%,"$187,064,651 ",49.40%,66,Beetlejuice Beetlejuice,36
2024,8/30/2024,9/5/2024,"$104,307,320 ",-11%,"$125,232,538 ",-1.30%,71,Deadpool & Wolverine,35
2024,8/23/2024,8/29/2024,"$117,229,768 ",-38.10%,"$126,927,495 ",-36.40%,61,Deadpool & Wolverine,34
2024,8/16/2024,8/22/2024,"$189,497,673 ",-15.70%,"$199,432,867 ",-14.10%,67,Alien: Romulus,33
2024,8/9/2024,8/15/2024,"$224,907,642 ",-9.70%,"$232,051,096 ",-8.80%,62,Deadpool & Wolverine,32
2024,8/2/2024,8/8/2024,"$249,109,439 ",-39.80%,"$254,451,878 ",-38.90%,57,Deadpool & Wolverine,31
2024,7/26/2024,8/1/2024,"$414,145,498 ",85.30%,"$416,767,433 ",81.60%,64,Deadpool & Wolverine,30
2024,7/19/2024,7/25/2024,"$223,449,238 ",23.70%,"$229,500,084 ",21.90%,62,Twisters,29
2024,7/12/2024,7/18/2024,"$180,706,565 ",-23.40%,"$188,206,926 ",-22.50%,66,Despicable Me 4,28
2024,7/5/2024,7/11/2024,"$235,985,643 ",-12.10%,"$242,844,213 ",-14.50%,60,Despicable Me 4,27
2024,6/28/2024,7/4/2024,"$268,459,170 ",19.30%,"$284,188,984 ",22.20%,71,Inside Out 2,26
2024,6/21/2024,6/27/2024,"$224,966,608 ",-34.10%,"$232,604,957 ",-33.20%,71,Inside Out 2,25
2024,6/14/2024,6/20/2024,"$341,530,160 ",141.10%,"$348,317,577 ",130.90%,66,Inside Out 2,24
2024,6/7/2024,6/13/2024,"$141,679,404 ",58.30%,"$150,857,891 ",49.20%,59,Bad Boys: Ride or Die,23
2024,5/31/2024,6/6/2024,"$89,481,959 ",-42.20%,"$101,109,374 ",-37.50%,61,The Garfield Movie,22
2024,5/24/2024,5/30/2024,"$154,935,365 ",27.50%,"$161,817,046 ",24.90%,66,Furiosa: A Mad Max Saga,21
2024,5/17/2024,5/23/2024,"$121,493,181 ",-0.20%,"$129,539,121 ",0.40%,68,IF,20
2024,5/10/2024,5/16/2024,"$121,768,269 ",34.60%,"$129,053,948 ",30%,75,Kingdom of the Planet of the Apes,19
2024,5/3/2024,5/9/2024,"$90,448,887 ",18.90%,"$99,280,214 ",12.70%,75,The Fall Guy,18
2024,4/26/2024,5/2/2024,"$76,059,012 ",-5.40%,"$88,094,817 ",-0.40%,73,Challengers,17
2024,4/19/2024,4/25/2024,"$80,385,420 ",-11%,"$88,445,128 ",-12.40%,79,Civil War,16
2024,4/12/2024,4/18/2024,"$90,338,573 ",-14.10%,"$101,007,766 ",-10.30%,80,Civil War,15
2024,4/5/2024,4/11/2024,"$105,143,238 ",-40.40%,"$112,568,592 ",-39.80%,83,Godzilla x Kong: The New Empire,14
